"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1933739098839368076","Sat Jun 14 04:11:42 +0000 2025","0","Rudal Iran Hantam Israel Kebakaran Terjadi Dekat Kementerian Pertahanan di Tel Aviv https://t.co/45tgl5wIJd lewat @PInfopalestina","1933739098839368076","","","in","","0","0","0","https://x.com/undefined/status/1933739098839368076","128116707",
"1933739092124316102","Sat Jun 14 04:11:41 +0000 2025","0","abis jemput ponakan selatan rumah malah ada kebakaran seketika hectic","1933739092124316102","","","in","","0","0","0","https://x.com/undefined/status/1933739092124316102","136978047",
"1933737645773119673","Sat Jun 14 04:05:56 +0000 2025","0","Telah terjadi kebakaran di Sinanggul Rt 12 RW 02 Mlonggo Jepara. Kebakaran tersebut menimpa rumah huni milik Ibu Sri Karina. Api berasal dari konsleting listrik &amp; akibat kebakaran tersebut diperkirakan mencapai sekitar Rp. 90.000.000 (11/06). Tak ada korban Sc: Nuansa Jepara https://t.co/zW0QhEKppE","1933737645773119673","https://pbs.twimg.com/ext_tw_video_thumb/1933737618522681344/pu/img/OfK7j7kTUeQdAn3-.jpg","","in","","0","0","0","https://x.com/undefined/status/1933737645773119673","1058037160694038528",
"1933690856944308582","Sat Jun 14 04:04:08 +0000 2025","0","@rendangtunjang @NetflixID Setelah sebelumnya jadi pemadam kebakaran","1933737194126221736","","rendangtunjang","in","","0","1","0","https://x.com/undefined/status/1933737194126221736","1049796378",
"1933736178437795981","Sat Jun 14 04:00:06 +0000 2025","1","himbauan Kapolres Aceh tengah tentang harkamtibmas dan karhutla di wilayah hukum polres Aceh tengah devisihumasmabespolri @bidhumaspoldaaceh @kapolda_aceh @polripresisi @indonesia_police_ @polisi_peduli @polisi_ku @halo_polisi @humaspolresacehtengah @polsekketol https://t.co/ZMxh9cBk6c","1933736178437795981","https://pbs.twimg.com/media/GtYCzECbMAQZ4x7.jpg","","in","","0","0","0","https://x.com/undefined/status/1933736178437795981","1920710308915802114",
"1933735952851378507","Sat Jun 14 03:59:12 +0000 2025","4"," SATU NOMOR UNTUK SEMUA DARURAT! Kecelakaan? Kebakaran? ️ Gangguan Keamanan? Kondisi Medis Darurat? Cukup hubungi 112! Satu nomor banyak solusi untuk menyelamatkan nyawa. Layanan bebas pulsa 24 jam nonstop! https://t.co/vvrE0vRZA3","1933735952851378507","https://pbs.twimg.com/media/GtYCmQxbMAEmK1P.jpg","","in","","0","2","1","https://x.com/undefined/status/1933735952851378507","379647347",
"1933735899969298719","Sat Jun 14 03:59:00 +0000 2025","0","Terapkan 1 RT 1 APAR Alia Laksono Puji Keseriusan Gubernur Pramono Cegah Kebakaran di Jakarta #bahlillahadalia #kuningkeren #golkarindonesia #partaigolkar #golkarpedia https://t.co/6dCVonB90s","1933735899969298719","","","in","","0","0","3","https://x.com/undefined/status/1933735899969298719","721898354502930433",
"1933735868692640080","Sat Jun 14 03:58:52 +0000 2025","0"," SATU NOMOR UNTUK SEMUA DARURAT! Kecelakaan? Kebakaran? ️ Gangguan Keamanan? Kondisi Medis Darurat? Cukup hubungi 112! Satu nomor banyak solusi untuk menyelamatkan nyawa. Layanan bebas pulsa 24 jam nonstop! https://t.co/8F4CD3CrJo","1933735868692640080","https://pbs.twimg.com/media/GtYChYibMAUEJu_.jpg","","in","","0","5","0","https://x.com/undefined/status/1933735868692640080","831049702716026882",
"1933123988651483427","Sat Jun 14 03:54:49 +0000 2025","0","@KemenperinRI Padahal di website udah tertera jalurnya masing-masing kok masih ada yang kebakaran jenggot soal beasiswa LPDP.","1933734849334099980","","KemenperinRI","in","","0","0","0","https://x.com/undefined/status/1933734849334099980","1579461176982765568",
"1933734823883084208","Sat Jun 14 03:54:43 +0000 2025","0","ADOH KEBAKARAN JENGGOT AKU LIHAT PEPE SAMA BLACO BLANCO ITU","1933734823883084208","","","in","","0","2","0","https://x.com/undefined/status/1933734823883084208","1647413304833490944",
"1933734064420499491","Sat Jun 14 03:51:42 +0000 2025","0","PATROLI KARHUTLA SOSIALISASI DAN PENYEBARAN MAKLUMAD DI WILKUM POLSEK TRIENGGADENG KAB. PIDIE JAYA https://t.co/5246JdDQ7F","1933734064420499491","https://pbs.twimg.com/media/GtYA4jxbMAIUfmf.jpg","","in","","0","0","0","https://x.com/undefined/status/1933734064420499491","1587991763457019905",
"1933733414689255855","Sat Jun 14 03:49:07 +0000 2025","0","Personil Unit Lalu Lintas Polsek Kawasan Sunda Kelapa melaksanakan Patroli Dialogis dan memberikan Imbauan Kamseltibcarlantas kepada para ABK Kapal agar selalu waspada bahaya kebakaran diatas kapal @kapoldametrojaya @adeary_milcop @divisihumaspolri @spripim.polri @Poldametrojaya https://t.co/aGltuV9eM0","1933733414689255855","https://pbs.twimg.com/media/GtYASsabMAAIzYs.jpg","","in","","0","0","0","https://x.com/undefined/status/1933733414689255855","1833026597991202816",
